[kkalyan3@helios1 log]$ cat new_grid_exp1_cifar10_21_model1.out
INFO:root:##### NEW EXPERIMENT #####
INFO:root:##### NEW EXPERIMENT #####
INFO:root:Best: 0.753889 using {'hu_1': 200, 'epochs': 50, 'act_layer1': 'sigmoid', 'drop_out1': 0, 'lr': 0.01}
INFO:root:Mean Acc : 0.664822  Std Dev (0.110743) with param: {'hu_1': 100, 'epochs': 50, 'act_layer1': 'relu', 'drop_out1': 0, 'lr': 0.1}
INFO:root:Mean Acc : 0.691956  Std Dev (0.111351) with param: {'hu_1': 100, 'epochs': 50, 'act_layer1': 'relu', 'drop_out1': 0, 'lr': 0.01}
INFO:root:Mean Acc : 0.677178  Std Dev (0.107864) with param: {'hu_1': 150, 'epochs': 50, 'act_layer1': 'relu', 'drop_out1': 0, 'lr': 0.1}
INFO:root:Mean Acc : 0.694889  Std Dev (0.100510) with param: {'hu_1': 150, 'epochs': 50, 'act_layer1': 'relu', 'drop_out1': 0, 'lr': 0.01}
INFO:root:Mean Acc : 0.423733  Std Dev (0.309902) with param: {'hu_1': 200, 'epochs': 50, 'act_layer1': 'relu', 'drop_out1': 0, 'lr': 0.1}
INFO:root:Mean Acc : 0.715533  Std Dev (0.078738) with param: {'hu_1': 200, 'epochs': 50, 'act_layer1': 'relu', 'drop_out1': 0, 'lr': 0.01}
INFO:root:Mean Acc : 0.296089  Std Dev (0.228076) with param: {'hu_1': 250, 'epochs': 50, 'act_layer1': 'relu', 'drop_out1': 0, 'lr': 0.1}
INFO:root:Mean Acc : 0.708333  Std Dev (0.082368) with param: {'hu_1': 250, 'epochs': 50, 'act_layer1': 'relu', 'drop_out1': 0, 'lr': 0.01}
INFO:root:Mean Acc : 0.433133  Std Dev (0.334823) with param: {'hu_1': 300, 'epochs': 50, 'act_layer1': 'relu', 'drop_out1': 0, 'lr': 0.1}
INFO:root:Mean Acc : 0.702200  Std Dev (0.098283) with param: {'hu_1': 300, 'epochs': 50, 'act_layer1': 'relu', 'drop_out1': 0, 'lr': 0.01}
INFO:root:Mean Acc : 0.322667  Std Dev (0.259211) with param: {'hu_1': 350, 'epochs': 50, 'act_layer1': 'relu', 'drop_out1': 0, 'lr': 0.1}
INFO:root:Mean Acc : 0.699156  Std Dev (0.088959) with param: {'hu_1': 350, 'epochs': 50, 'act_layer1': 'relu', 'drop_out1': 0, 'lr': 0.01}
INFO:root:Mean Acc : 0.305400  Std Dev (0.238773) with param: {'hu_1': 400, 'epochs': 50, 'act_layer1': 'relu', 'drop_out1': 0, 'lr': 0.1}
INFO:root:Mean Acc : 0.700111  Std Dev (0.090649) with param: {'hu_1': 400, 'epochs': 50, 'act_layer1': 'relu', 'drop_out1': 0, 'lr': 0.01}
INFO:root:Mean Acc : 0.671778  Std Dev (0.085737) with param: {'hu_1': 100, 'epochs': 90, 'act_layer1': 'relu', 'drop_out1': 0, 'lr': 0.1}
INFO:root:Mean Acc : 0.712933  Std Dev (0.098386) with param: {'hu_1': 100, 'epochs': 90, 'act_layer1': 'relu', 'drop_out1': 0, 'lr': 0.01}
INFO:root:Mean Acc : 0.670022  Std Dev (0.083043) with param: {'hu_1': 150, 'epochs': 90, 'act_layer1': 'relu', 'drop_out1': 0, 'lr': 0.1}
