[kkalyan3@helios1 log]$ cat new_grid_exp1_cifar10_5_model1.out
INFO:root:##### NEW EXPERIMENT #####
INFO:root:Best: 0.730156 using {'act_layer1': 'sigmoid', 'epochs': 50, 'hu_1': 100, 'drop_out1': 0, 'lr': 0.01}
INFO:root:Mean Acc : 0.698844  Std Dev (0.105307) with param: {'act_layer1': 'relu', 'epochs': 50, 'hu_1': 100, 'drop_out1': 0, 'lr': 0.1}
INFO:root:Mean Acc : 0.703400  Std Dev (0.092157) with param: {'act_layer1': 'relu', 'epochs': 50, 'hu_1': 100, 'drop_out1': 0, 'lr': 0.01}
INFO:root:Mean Acc : 0.638422  Std Dev (0.107340) with param: {'act_layer1': 'relu', 'epochs': 50, 'hu_1': 150, 'drop_out1': 0, 'lr': 0.1}
INFO:root:Mean Acc : 0.701267  Std Dev (0.095638) with param: {'act_layer1': 'relu', 'epochs': 50, 'hu_1': 150, 'drop_out1': 0, 'lr': 0.01}
INFO:root:Mean Acc : 0.679467  Std Dev (0.138008) with param: {'act_layer1': 'relu', 'epochs': 50, 'hu_1': 200, 'drop_out1': 0, 'lr': 0.1}
INFO:root:Mean Acc : 0.706711  Std Dev (0.109917) with param: {'act_layer1': 'relu', 'epochs': 50, 'hu_1': 200, 'drop_out1': 0, 'lr': 0.01}
INFO:root:Mean Acc : 0.673111  Std Dev (0.109546) with param: {'act_layer1': 'relu', 'epochs': 50, 'hu_1': 250, 'drop_out1': 0, 'lr': 0.1}
INFO:root:Mean Acc : 0.686244  Std Dev (0.107220) with param: {'act_layer1': 'relu', 'epochs': 50, 'hu_1': 250, 'drop_out1': 0, 'lr': 0.01}
INFO:root:Mean Acc : 0.682489  Std Dev (0.091332) with param: {'act_layer1': 'relu', 'epochs': 50, 'hu_1': 300, 'drop_out1': 0, 'lr': 0.1}
INFO:root:Mean Acc : 0.692822  Std Dev (0.123640) with param: {'act_layer1': 'relu', 'epochs': 50, 'hu_1': 300, 'drop_out1': 0, 'lr': 0.01}
