[kkalyan3@helios1 log]$ cat new_grid_exp1_mnist_21_model1.out
INFO:root:##### NEW EXPERIMENT #####
INFO:root:Best: 0.711600 using {'hu_1': 400, 'lr': 0.01, 'epochs': 130, 'drop_out1': 0.5, 'act_layer1': 'sigmoid'}
INFO:root:Mean Acc : 0.706057  Std Dev (0.398321) with param: {'hu_1': 100, 'lr': 0.1, 'epochs': 50, 'drop_out1': 0, 'act_layer1': 'relu'}
INFO:root:Mean Acc : 0.710057  Std Dev (0.401151) with param: {'hu_1': 100, 'lr': 0.01, 'epochs': 50, 'drop_out1': 0, 'act_layer1': 'relu'}
INFO:root:Mean Acc : 0.708086  Std Dev (0.399937) with param: {'hu_1': 150, 'lr': 0.1, 'epochs': 50, 'drop_out1': 0, 'act_layer1': 'relu'}
INFO:root:Mean Acc : 0.710143  Std Dev (0.401332) with param: {'hu_1': 150, 'lr': 0.01, 'epochs': 50, 'drop_out1': 0, 'act_layer1': 'relu'}
INFO:root:Mean Acc : 0.708400  Std Dev (0.400160) with param: {'hu_1': 200, 'lr': 0.1, 'epochs': 50, 'drop_out1': 0, 'act_layer1': 'relu'}
INFO:root:Mean Acc : 0.710057  Std Dev (0.401270) with param: {'hu_1': 200, 'lr': 0.01, 'epochs': 50, 'drop_out1': 0, 'act_layer1': 'relu'}
INFO:root:Mean Acc : 0.707657  Std Dev (0.399514) with param: {'hu_1': 250, 'lr': 0.1, 'epochs': 50, 'drop_out1': 0, 'act_layer1': 'relu'}
INFO:root:Mean Acc : 0.708971  Std Dev (0.400503) with param: {'hu_1': 250, 'lr': 0.01, 'epochs': 50, 'drop_out1': 0, 'act_layer1': 'relu'}
INFO:root:Mean Acc : 0.544114  Std Dev (0.348476) with param: {'hu_1': 300, 'lr': 0.1, 'epochs': 50, 'drop_out1': 0, 'act_layer1': 'relu'}
INFO:root:Mean Acc : 0.708200  Std Dev (0.399971) with param: {'hu_1': 300, 'lr': 0.01, 'epochs': 50, 'drop_out1': 0, 'act_layer1': 'relu'}
INFO:root:Mean Acc : 0.441171  Std Dev (0.322020) with param: {'hu_1': 350, 'lr': 0.1, 'epochs': 50, 'drop_out1': 0, 'act_layer1': 'relu'}
INFO:root:Mean Acc : 0.710257  Std Dev (0.401352) with param: {'hu_1': 350, 'lr': 0.01, 'epochs': 50, 'drop_out1': 0, 'act_layer1': 'relu'}
INFO:root:Mean Acc : 0.075686  Std Dev (0.055007) with param: {'hu_1': 400, 'lr': 0.1, 'epochs': 50, 'drop_out1': 0, 'act_layer1': 'relu'}
INFO:root:Mean Acc : 0.710943  Std Dev (0.401836) with param: {'hu_1': 400, 'lr': 0.01, 'epochs': 50, 'drop_out1': 0, 'act_layer1': 'relu'}
INFO:root:Mean Acc : 0.707143  Std Dev (0.399089) with param: {'hu_1': 100, 'lr': 0.1, 'epochs': 90, 'drop_out1': 0, 'act_layer1': 'relu'}
INFO:root:Mean Acc : 0.710000  Std Dev (0.401170) with param: {'hu_1': 100, 'lr': 0.01, 'epochs': 90, 'drop_out1': 0, 'act_layer1': 'relu'}
INFO:root:Mean Acc : 0.705743  Std Dev (0.398222) with param: {'hu_1': 150, 'lr': 0.1, 'epochs': 90, 'drop_out1': 0, 'act_layer1': 'relu'}
INFO:root:Mean Acc : 0.709171  Std Dev (0.400585) with param: {'hu_1': 150, 'lr': 0.01, 'epochs': 90, 'drop_out1': 0, 'act_layer1': 'relu'}
INFO:root:Mean Acc : 0.708257  Std Dev (0.400000) with param: {'hu_1': 200, 'lr': 0.1, 'epochs': 90, 'drop_out1': 0, 'act_layer1': 'relu'}
INFO:root:Mean Acc : 0.710314  Std Dev (0.401634) with param: {'hu_1': 200, 'lr': 0.01, 'epochs': 90, 'drop_out1': 0, 'act_layer1': 'relu'}
INFO:root:Mean Acc : 0.708286  Std Dev (0.400200) with param: {'hu_1': 250, 'lr': 0.1, 'epochs': 90, 'drop_out1': 0, 'act_layer1': 'relu'}
INFO:root:Mean Acc : 0.707314  Std Dev (0.399210) with param: {'hu_1': 250, 'lr': 0.01, 'epochs': 90, 'drop_out1': 0, 'act_layer1': 'relu'}
INFO:root:Mean Acc : 0.699086  Std Dev (0.403787) with param: {'hu_1': 300, 'lr': 0.1, 'epochs': 90, 'drop_out1': 0, 'act_layer1': 'relu'}
INFO:root:Mean Acc : 0.711000  Std Dev (0.401816) with param: {'hu_1': 300, 'lr': 0.01, 'epochs': 90, 'drop_out1': 0, 'act_layer1': 'relu'}
INFO:root:Mean Acc : 0.373714  Std Dev (0.431760) with param: {'hu_1': 350, 'lr': 0.1, 'epochs': 90, 'drop_out1': 0, 'act_layer1': 'relu'}
INFO:root:Mean Acc : 0.709971  Std Dev (0.401149) with param: {'hu_1': 350, 'lr': 0.01, 'epochs': 90, 'drop_out1': 0, 'act_layer1': 'relu'}
INFO:root:Mean Acc : 0.211514  Std Dev (0.214772) with param: {'hu_1': 400, 'lr': 0.1, 'epochs': 90, 'drop_out1': 0, 'act_layer1': 'relu'}
INFO:root:Mean Acc : 0.709686  Std Dev (0.401008) with param: {'hu_1': 400, 'lr': 0.01, 'epochs': 90, 'drop_out1': 0, 'act_layer1': 'relu'}
INFO:root:Mean Acc : 0.707457  Std Dev (0.399373) with param: {'hu_1': 100, 'lr': 0.1, 'epochs': 130, 'drop_out1': 0, 'act_layer1': 'relu'}
INFO:root:Mean Acc : 0.710457  Std Dev (0.401433) with param: {'hu_1': 100, 'lr': 0.01, 'epochs': 130, 'drop_out1': 0, 'act_layer1': 'relu'}
INFO:root:Mean Acc : 0.708200  Std Dev (0.400022) with param: {'hu_1': 150, 'lr': 0.1, 'epochs': 130, 'drop_out1': 0, 'act_layer1': 'relu'}
INFO:root:Mean Acc : 0.709543  Std Dev (0.400847) with param: {'hu_1': 150, 'lr': 0.01, 'epochs': 130, 'drop_out1': 0, 'act_layer1': 'relu'}
INFO:root:Mean Acc : 0.707914  Std Dev (0.399998) with param: {'hu_1': 200, 'lr': 0.1, 'epochs': 130, 'drop_out1': 0, 'act_layer1': 'relu'}
INFO:root:Mean Acc : 0.709857  Std Dev (0.401070) with param: {'hu_1': 200, 'lr': 0.01, 'epochs': 130, 'drop_out1': 0, 'act_layer1': 'relu'}
INFO:root:Mean Acc : 0.707686  Std Dev (0.399533) with param: {'hu_1': 250, 'lr': 0.1, 'epochs': 130, 'drop_out1': 0, 'act_layer1': 'relu'}
INFO:root:Mean Acc : 0.709886  Std Dev (0.401089) with param: {'hu_1': 250, 'lr': 0.01, 'epochs': 130, 'drop_out1': 0, 'act_layer1': 'relu'}
INFO:root:Mean Acc : 0.697943  Std Dev (0.414524) with param: {'hu_1': 300, 'lr': 0.1, 'epochs': 130, 'drop_out1': 0, 'act_layer1': 'relu'}
INFO:root:Mean Acc : 0.710143  Std Dev (0.401271) with param: {'hu_1': 300, 'lr': 0.01, 'epochs': 130, 'drop_out1': 0, 'act_layer1': 'relu'}
INFO:root:Mean Acc : 0.113400  Std Dev (0.020732) with param: {'hu_1': 350, 'lr': 0.1, 'epochs': 130, 'drop_out1': 0, 'act_layer1': 'relu'}
INFO:root:Mean Acc : 0.710114  Std Dev (0.401251) with param: {'hu_1': 350, 'lr': 0.01, 'epochs': 130, 'drop_out1': 0, 'act_layer1': 'relu'}
INFO:root:Mean Acc : 0.407429  Std Dev (0.410561) with param: {'hu_1': 400, 'lr': 0.1, 'epochs': 130, 'drop_out1': 0, 'act_layer1': 'relu'}
INFO:root:Mean Acc : 0.710171  Std Dev (0.401351) with param: {'hu_1': 400, 'lr': 0.01, 'epochs': 130, 'drop_out1': 0, 'act_layer1': 'relu'}
INFO:root:Mean Acc : 0.707114  Std Dev (0.399131) with param: {'hu_1': 100, 'lr': 0.1, 'epochs': 50, 'drop_out1': 0.5, 'act_layer1': 'relu'}
INFO:root:Mean Acc : 0.710343  Std Dev (0.401413) with param: {'hu_1': 100, 'lr': 0.01, 'epochs': 50, 'drop_out1': 0.5, 'act_layer1': 'relu'}
INFO:root:Mean Acc : 0.701829  Std Dev (0.395495) with param: {'hu_1': 150, 'lr': 0.1, 'epochs': 50, 'drop_out1': 0.5, 'act_layer1': 'relu'}
INFO:root:Mean Acc : 0.711229  Std Dev (0.401918) with param: {'hu_1': 150, 'lr': 0.01, 'epochs': 50, 'drop_out1': 0.5, 'act_layer1': 'relu'}
INFO:root:Mean Acc : 0.707600  Std Dev (0.399474) with param: {'hu_1': 200, 'lr': 0.1, 'epochs': 50, 'drop_out1': 0.5, 'act_layer1': 'relu'}
INFO:root:Mean Acc : 0.710971  Std Dev (0.401856) with param: {'hu_1': 200, 'lr': 0.01, 'epochs': 50, 'drop_out1': 0.5, 'act_layer1': 'relu'}
INFO:root:Mean Acc : 0.704714  Std Dev (0.397603) with param: {'hu_1': 250, 'lr': 0.1, 'epochs': 50, 'drop_out1': 0.5, 'act_layer1': 'relu'}
INFO:root:Mean Acc : 0.711286  Std Dev (0.402078) with param: {'hu_1': 250, 'lr': 0.01, 'epochs': 50, 'drop_out1': 0.5, 'act_layer1': 'relu'}
INFO:root:Mean Acc : 0.706000  Std Dev (0.398341) with param: {'hu_1': 300, 'lr': 0.1, 'epochs': 50, 'drop_out1': 0.5, 'act_layer1': 'relu'}
INFO:root:Mean Acc : 0.710857  Std Dev (0.401654) with param: {'hu_1': 300, 'lr': 0.01, 'epochs': 50, 'drop_out1': 0.5, 'act_layer1': 'relu'}
INFO:root:Mean Acc : 0.545686  Std Dev (0.288082) with param: {'hu_1': 350, 'lr': 0.1, 'epochs': 50, 'drop_out1': 0.5, 'act_layer1': 'relu'}
INFO:root:Mean Acc : 0.710800  Std Dev (0.401856) with param: {'hu_1': 350, 'lr': 0.01, 'epochs': 50, 'drop_out1': 0.5, 'act_layer1': 'relu'}
INFO:root:Mean Acc : 0.442371  Std Dev (0.260523) with param: {'hu_1': 400, 'lr': 0.1, 'epochs': 50, 'drop_out1': 0.5, 'act_layer1': 'relu'}
INFO:root:Mean Acc : 0.710000  Std Dev (0.401109) with param: {'hu_1': 400, 'lr': 0.01, 'epochs': 50, 'drop_out1': 0.5, 'act_layer1': 'relu'}
INFO:root:Mean Acc : 0.705571  Std Dev (0.398223) with param: {'hu_1': 100, 'lr': 0.1, 'epochs': 90, 'drop_out1': 0.5, 'act_layer1': 'relu'}
INFO:root:Mean Acc : 0.709800  Std Dev (0.400967) with param: {'hu_1': 100, 'lr': 0.01, 'epochs': 90, 'drop_out1': 0.5, 'act_layer1': 'relu'}
INFO:root:Mean Acc : 0.706000  Std Dev (0.398526) with param: {'hu_1': 150, 'lr': 0.1, 'epochs': 90, 'drop_out1': 0.5, 'act_layer1': 'relu'}
INFO:root:Mean Acc : 0.710800  Std Dev (0.401614) with param: {'hu_1': 150, 'lr': 0.01, 'epochs': 90, 'drop_out1': 0.5, 'act_layer1': 'relu'}
INFO:root:Mean Acc : 0.708143  Std Dev (0.399863) with param: {'hu_1': 200, 'lr': 0.1, 'epochs': 90, 'drop_out1': 0.5, 'act_layer1': 'relu'}
INFO:root:Mean Acc : 0.711029  Std Dev (0.401898) with param: {'hu_1': 200, 'lr': 0.01, 'epochs': 90, 'drop_out1': 0.5, 'act_layer1': 'relu'}
INFO:root:Mean Acc : 0.705971  Std Dev (0.398384) with param: {'hu_1': 250, 'lr': 0.1, 'epochs': 90, 'drop_out1': 0.5, 'act_layer1': 'relu'}
INFO:root:Mean Acc : 0.710829  Std Dev (0.401695) with param: {'hu_1': 250, 'lr': 0.01, 'epochs': 90, 'drop_out1': 0.5, 'act_layer1': 'relu'}
INFO:root:Mean Acc : 0.706943  Std Dev (0.399138) with param: {'hu_1': 300, 'lr': 0.1, 'epochs': 90, 'drop_out1': 0.5, 'act_layer1': 'relu'}
INFO:root:Mean Acc : 0.710629  Std Dev (0.401553) with param: {'hu_1': 300, 'lr': 0.01, 'epochs': 90, 'drop_out1': 0.5, 'act_layer1': 'relu'}
INFO:root:Mean Acc : 0.464029  Std Dev (0.356956) with param: {'hu_1': 350, 'lr': 0.1, 'epochs': 90, 'drop_out1': 0.5, 'act_layer1': 'relu'}
INFO:root:Mean Acc : 0.711343  Std Dev (0.402119) with param: {'hu_1': 350, 'lr': 0.01, 'epochs': 90, 'drop_out1': 0.5, 'act_layer1': 'relu'}
INFO:root:Mean Acc : 0.377800  Std Dev (0.437375) with param: {'hu_1': 400, 'lr': 0.1, 'epochs': 90, 'drop_out1': 0.5, 'act_layer1': 'relu'}
INFO:root:Mean Acc : 0.710514  Std Dev (0.401716) with param: {'hu_1': 400, 'lr': 0.01, 'epochs': 90, 'drop_out1': 0.5, 'act_layer1': 'relu'}
INFO:root:Mean Acc : 0.704343  Std Dev (0.397315) with param: {'hu_1': 100, 'lr': 0.1, 'epochs': 130, 'drop_out1': 0.5, 'act_layer1': 'relu'}
