[kkalyan3@helios1 log]$ cat new_grid_exp1_mnist_5_model1.out
INFO:root:##### NEW EXPERIMENT #####
INFO:root:Best: 0.711143 using {'epochs': 50, 'lr': 0.01, 'hu_1': 150, 'act_layer1': 'relu', 'drop_out1': 0.5}
INFO:root:Mean Acc : 0.542571  Std Dev (0.307655) with param: {'epochs': 50, 'lr': 0.1, 'hu_1': 100, 'act_layer1': 'relu', 'drop_out1': 0}
INFO:root:Mean Acc : 0.706771  Std Dev (0.398887) with param: {'epochs': 50, 'lr': 0.01, 'hu_1': 100, 'act_layer1': 'relu', 'drop_out1': 0}
INFO:root:Mean Acc : 0.510171  Std Dev (0.259924) with param: {'epochs': 50, 'lr': 0.1, 'hu_1': 150, 'act_layer1': 'relu', 'drop_out1': 0}
INFO:root:Mean Acc : 0.704571  Std Dev (0.397270) with param: {'epochs': 50, 'lr': 0.01, 'hu_1': 150, 'act_layer1': 'relu', 'drop_out1': 0}
INFO:root:Mean Acc : 0.595286  Std Dev (0.333244) with param: {'epochs': 50, 'lr': 0.1, 'hu_1': 200, 'act_layer1': 'relu', 'drop_out1': 0}
INFO:root:Mean Acc : 0.705857  Std Dev (0.398240) with param: {'epochs': 50, 'lr': 0.01, 'hu_1': 200, 'act_layer1': 'relu', 'drop_out1': 0}
INFO:root:Mean Acc : 0.540200  Std Dev (0.305264) with param: {'epochs': 50, 'lr': 0.1, 'hu_1': 250, 'act_layer1': 'relu', 'drop_out1': 0}
INFO:root:Mean Acc : 0.702714  Std Dev (0.396042) with param: {'epochs': 50, 'lr': 0.01, 'hu_1': 250, 'act_layer1': 'relu', 'drop_out1': 0}
INFO:root:Mean Acc : 0.534971  Std Dev (0.313761) with param: {'epochs': 50, 'lr': 0.1, 'hu_1': 300, 'act_layer1': 'relu', 'drop_out1': 0}
INFO:root:Mean Acc : 0.669400  Std Dev (0.375139) with param: {'epochs': 50, 'lr': 0.01, 'hu_1': 300, 'act_layer1': 'relu', 'drop_out1': 0}
INFO:root:Mean Acc : 0.467371  Std Dev (0.313511) with param: {'epochs': 50, 'lr': 0.1, 'hu_1': 350, 'act_layer1': 'relu', 'drop_out1': 0}
INFO:root:Mean Acc : 0.673686  Std Dev (0.377878) with param: {'epochs': 50, 'lr': 0.01, 'hu_1': 350, 'act_layer1': 'relu', 'drop_out1': 0}
INFO:root:Mean Acc : 0.535543  Std Dev (0.290855) with param: {'epochs': 50, 'lr': 0.1, 'hu_1': 400, 'act_layer1': 'relu', 'drop_out1': 0}
INFO:root:Mean Acc : 0.699886  Std Dev (0.394057) with param: {'epochs': 50, 'lr': 0.01, 'hu_1': 400, 'act_layer1': 'relu', 'drop_out1': 0}
INFO:root:Mean Acc : 0.602029  Std Dev (0.337434) with param: {'epochs': 90, 'lr': 0.1, 'hu_1': 100, 'act_layer1': 'relu', 'drop_out1': 0}
INFO:root:Mean Acc : 0.704743  Std Dev (0.397454) with param: {'epochs': 90, 'lr': 0.01, 'hu_1': 100, 'act_layer1': 'relu', 'drop_out1': 0}
INFO:root:Mean Acc : 0.505257  Std Dev (0.278370) with param: {'epochs': 90, 'lr': 0.1, 'hu_1': 150, 'act_layer1': 'relu', 'drop_out1': 0}
INFO:root:Mean Acc : 0.705200  Std Dev (0.397778) with param: {'epochs': 90, 'lr': 0.01, 'hu_1': 150, 'act_layer1': 'relu', 'drop_out1': 0}
INFO:root:Mean Acc : 0.529571  Std Dev (0.285667) with param: {'epochs': 90, 'lr': 0.1, 'hu_1': 200, 'act_layer1': 'relu', 'drop_out1': 0}
INFO:root:Mean Acc : 0.704229  Std Dev (0.397089) with param: {'epochs': 90, 'lr': 0.01, 'hu_1': 200, 'act_layer1': 'relu', 'drop_out1': 0}
