[kkalyan3@helios1 log]$ cat new_grid_exp2_cifar10_21_model1.out
INFO:root:##### NEW EXPERIMENT #####
INFO:root:Best: 0.745022 using {'act_layer1': 'sigmoid', 'hu_1': 350, 'lr': 0.01, 'drop_out1': 0, 'epochs': 50}
INFO:root:Mean Acc : 0.685239  Std Dev (0.089149) with param: {'act_layer1': 'relu', 'hu_1': 100, 'lr': 0.1, 'drop_out1': 0, 'epochs': 50}
INFO:root:Mean Acc : 0.708957  Std Dev (0.087148) with param: {'act_layer1': 'relu', 'hu_1': 100, 'lr': 0.01, 'drop_out1': 0, 'epochs': 50}
INFO:root:Mean Acc : 0.695500  Std Dev (0.097826) with param: {'act_layer1': 'relu', 'hu_1': 150, 'lr': 0.1, 'drop_out1': 0, 'epochs': 50}
INFO:root:Mean Acc : 0.715130  Std Dev (0.070615) with param: {'act_layer1': 'relu', 'hu_1': 150, 'lr': 0.01, 'drop_out1': 0, 'epochs': 50}
INFO:root:Mean Acc : 0.651935  Std Dev (0.110270) with param: {'act_layer1': 'relu', 'hu_1': 200, 'lr': 0.1, 'drop_out1': 0, 'epochs': 50}
INFO:root:Mean Acc : 0.720848  Std Dev (0.079059) with param: {'act_layer1': 'relu', 'hu_1': 200, 'lr': 0.01, 'drop_out1': 0, 'epochs': 50}
INFO:root:Mean Acc : 0.306652  Std Dev (0.229059) with param: {'act_layer1': 'relu', 'hu_1': 250, 'lr': 0.1, 'drop_out1': 0, 'epochs': 50}
INFO:root:Mean Acc : 0.713565  Std Dev (0.073594) with param: {'act_layer1': 'relu', 'hu_1': 250, 'lr': 0.01, 'drop_out1': 0, 'epochs': 50}
INFO:root:Mean Acc : 0.320587  Std Dev (0.244231) with param: {'act_layer1': 'relu', 'hu_1': 300, 'lr': 0.1, 'drop_out1': 0, 'epochs': 50}
INFO:root:Mean Acc : 0.712587  Std Dev (0.074208) with param: {'act_layer1': 'relu', 'hu_1': 300, 'lr': 0.01, 'drop_out1': 0, 'epochs': 50}
INFO:root:Mean Acc : 0.332913  Std Dev (0.258164) with param: {'act_layer1': 'relu', 'hu_1': 350, 'lr': 0.1, 'drop_out1': 0, 'epochs': 50}
INFO:root:Mean Acc : 0.690957  Std Dev (0.095962) with param: {'act_layer1': 'relu', 'hu_1': 350, 'lr': 0.01, 'drop_out1': 0, 'epochs': 50}
INFO:root:Mean Acc : 0.326326  Std Dev (0.250664) with param: {'act_layer1': 'relu', 'hu_1': 400, 'lr': 0.1, 'drop_out1': 0, 'epochs': 50}
INFO:root:Mean Acc : 0.709674  Std Dev (0.070929) with param: {'act_layer1': 'relu', 'hu_1': 400, 'lr': 0.01, 'drop_out1': 0, 'epochs': 50}
INFO:root:Mean Acc : 0.650261  Std Dev (0.111181) with param: {'act_layer1': 'relu', 'hu_1': 100, 'lr': 0.1, 'drop_out1': 0, 'epochs': 90}
INFO:root:Mean Acc : 0.716304  Std Dev (0.080601) with param: {'act_layer1': 'relu', 'hu_1': 100, 'lr': 0.01, 'drop_out1': 0, 'epochs': 90}
INFO:root:Mean Acc : 0.672109  Std Dev (0.096492) with param: {'act_layer1': 'relu', 'hu_1': 150, 'lr': 0.1, 'drop_out1': 0, 'epochs': 90}
INFO:root:Mean Acc : 0.697217  Std Dev (0.079099) with param: {'act_layer1': 'relu', 'hu_1': 150, 'lr': 0.01, 'drop_out1': 0, 'epochs': 90}
