[kkalyan3@helios1 log]$ cat new_grid_exp2_cifar10_5_model1.out
INFO:root:##### NEW EXPERIMENT #####
INFO:root:Best: 0.725457 using {'lr': 0.01, 'act_layer1': 'relu', 'hu_1': 150, 'epochs': 50, 'drop_out1': 0.5}
INFO:root:Mean Acc : 0.710652  Std Dev (0.071911) with param: {'lr': 0.1, 'act_layer1': 'relu', 'hu_1': 100, 'epochs': 50, 'drop_out1': 0}
INFO:root:Mean Acc : 0.689543  Std Dev (0.095859) with param: {'lr': 0.01, 'act_layer1': 'relu', 'hu_1': 100, 'epochs': 50, 'drop_out1': 0}
INFO:root:Mean Acc : 0.688413  Std Dev (0.099390) with param: {'lr': 0.1, 'act_layer1': 'relu', 'hu_1': 150, 'epochs': 50, 'drop_out1': 0}
INFO:root:Mean Acc : 0.715478  Std Dev (0.086525) with param: {'lr': 0.01, 'act_layer1': 'relu', 'hu_1': 150, 'epochs': 50, 'drop_out1': 0}
INFO:root:Mean Acc : 0.678717  Std Dev (0.111169) with param: {'lr': 0.1, 'act_layer1': 'relu', 'hu_1': 200, 'epochs': 50, 'drop_out1': 0}
INFO:root:Mean Acc : 0.689804  Std Dev (0.095783) with param: {'lr': 0.01, 'act_layer1': 'relu', 'hu_1': 200, 'epochs': 50, 'drop_out1': 0}
INFO:root:Mean Acc : 0.669717  Std Dev (0.088455) with param: {'lr': 0.1, 'act_layer1': 'relu', 'hu_1': 250, 'epochs': 50, 'drop_out1': 0}
INFO:root:Mean Acc : 0.703609  Std Dev (0.092197) with param: {'lr': 0.01, 'act_layer1': 'relu', 'hu_1': 250, 'epochs': 50, 'drop_out1': 0}
INFO:root:Mean Acc : 0.692935  Std Dev (0.090846) with param: {'lr': 0.1, 'act_layer1': 'relu', 'hu_1': 300, 'epochs': 50, 'drop_out1': 0}
INFO:root:Mean Acc : 0.705761  Std Dev (0.084129) with param: {'lr': 0.01, 'act_layer1': 'relu', 'hu_1': 300, 'epochs': 50, 'drop_out1': 0}
INFO:root:Mean Acc : 0.681826  Std Dev (0.088958) with param: {'lr': 0.1, 'act_layer1': 'relu', 'hu_1': 350, 'epochs': 50, 'drop_out1': 0}
INFO:root:Mean Acc : 0.706739  Std Dev (0.099782) with param: {'lr': 0.01, 'act_layer1': 'relu', 'hu_1': 350, 'epochs': 50, 'drop_out1': 0}
INFO:root:Mean Acc : 0.692674  Std Dev (0.104603) with param: {'lr': 0.1, 'act_layer1': 'relu', 'hu_1': 400, 'epochs': 50, 'drop_out1': 0}
INFO:root:Mean Acc : 0.711196  Std Dev (0.095405) with param: {'lr': 0.01, 'act_layer1': 'relu', 'hu_1': 400, 'epochs': 50, 'drop_out1': 0}
INFO:root:Mean Acc : 0.716435  Std Dev (0.069440) with param: {'lr': 0.1, 'act_layer1': 'relu', 'hu_1': 100, 'epochs': 90, 'drop_out1': 0}
INFO:root:Mean Acc : 0.713848  Std Dev (0.098094) with param: {'lr': 0.01, 'act_layer1': 'relu', 'hu_1': 100, 'epochs': 90, 'drop_out1': 0}
INFO:root:Mean Acc : 0.677043  Std Dev (0.085673) with param: {'lr': 0.1, 'act_layer1': 'relu', 'hu_1': 150, 'epochs': 90, 'drop_out1': 0}
INFO:root:Mean Acc : 0.697761  Std Dev (0.087918) with param: {'lr': 0.01, 'act_layer1': 'relu', 'hu_1': 150, 'epochs': 90, 'drop_out1': 0}
INFO:root:Mean Acc : 0.668283  Std Dev (0.124337) with param: {'lr': 0.1, 'act_layer1': 'relu', 'hu_1': 200, 'epochs': 90, 'drop_out1': 0}
INFO:root:Mean Acc : 0.699022  Std Dev (0.083748) with param: {'lr': 0.01, 'act_layer1': 'relu', 'hu_1': 200, 'epochs': 90, 'drop_out1': 0}
INFO:root:Mean Acc : 0.695978  Std Dev (0.093986) with param: {'lr': 0.1, 'act_layer1': 'relu', 'hu_1': 250, 'epochs': 90, 'drop_out1': 0}
INFO:root:Mean Acc : 0.688348  Std Dev (0.087843) with param: {'lr': 0.01, 'act_layer1': 'relu', 'hu_1': 250, 'epochs': 90, 'drop_out1': 0}
INFO:root:Mean Acc : 0.698500  Std Dev (0.076170) with param: {'lr': 0.1, 'act_layer1': 'relu', 'hu_1': 300, 'epochs': 90, 'drop_out1': 0}
INFO:root:Mean Acc : 0.693587  Std Dev (0.095815) with param: {'lr': 0.01, 'act_layer1': 'relu', 'hu_1': 300, 'epochs': 90, 'drop_out1': 0}
INFO:root:Mean Acc : 0.675239  Std Dev (0.085466) with param: {'lr': 0.1, 'act_layer1': 'relu', 'hu_1': 350, 'epochs': 90, 'drop_out1': 0}
INFO:root:Mean Acc : 0.676283  Std Dev (0.103912) with param: {'lr': 0.01, 'act_layer1': 'relu', 'hu_1': 350, 'epochs': 90, 'drop_out1': 0}
INFO:root:Mean Acc : 0.671717  Std Dev (0.101327) with param: {'lr': 0.1, 'act_layer1': 'relu', 'hu_1': 400, 'epochs': 90, 'drop_out1': 0}
INFO:root:Mean Acc : 0.707413  Std Dev (0.096256) with param: {'lr': 0.01, 'act_layer1': 'relu', 'hu_1': 400, 'epochs': 90, 'drop_out1': 0}
INFO:root:Mean Acc : 0.673761  Std Dev (0.103386) with param: {'lr': 0.1, 'act_layer1': 'relu', 'hu_1': 100, 'epochs': 130, 'drop_out1': 0}
INFO:root:Mean Acc : 0.694652  Std Dev (0.098097) with param: {'lr': 0.01, 'act_layer1': 'relu', 'hu_1': 100, 'epochs': 130, 'drop_out1': 0}
INFO:root:Mean Acc : 0.663804  Std Dev (0.107331) with param: {'lr': 0.1, 'act_layer1': 'relu', 'hu_1': 150, 'epochs': 130, 'drop_out1': 0}
INFO:root:Mean Acc : 0.710348  Std Dev (0.087949) with param: {'lr': 0.01, 'act_layer1': 'relu', 'hu_1': 150, 'epochs': 130, 'drop_out1': 0}
