[kkalyan3@helios1 log]$ cat new_grid_exp2_mnist_21_model1.out
INFO:root:##### NEW EXPERIMENT #####
INFO:root:Best: 0.688306 using {'lr': 0.01, 'hu_1': 150, 'drop_out1': 0.5, 'act_layer1': 'sigmoid', 'epochs': 90}
INFO:root:Mean Acc : 0.682806  Std Dev (0.424190) with param: {'lr': 0.1, 'hu_1': 100, 'drop_out1': 0, 'act_layer1': 'relu', 'epochs': 50}
INFO:root:Mean Acc : 0.683194  Std Dev (0.424405) with param: {'lr': 0.01, 'hu_1': 100, 'drop_out1': 0, 'act_layer1': 'relu', 'epochs': 50}
INFO:root:Mean Acc : 0.680472  Std Dev (0.422477) with param: {'lr': 0.1, 'hu_1': 150, 'drop_out1': 0, 'act_layer1': 'relu', 'epochs': 50}
INFO:root:Mean Acc : 0.684222  Std Dev (0.425129) with param: {'lr': 0.01, 'hu_1': 150, 'drop_out1': 0, 'act_layer1': 'relu', 'epochs': 50}
INFO:root:Mean Acc : 0.682139  Std Dev (0.423743) with param: {'lr': 0.1, 'hu_1': 200, 'drop_out1': 0, 'act_layer1': 'relu', 'epochs': 50}
INFO:root:Mean Acc : 0.684806  Std Dev (0.425548) with param: {'lr': 0.01, 'hu_1': 200, 'drop_out1': 0, 'act_layer1': 'relu', 'epochs': 50}
INFO:root:Mean Acc : 0.675528  Std Dev (0.419042) with param: {'lr': 0.1, 'hu_1': 250, 'drop_out1': 0, 'act_layer1': 'relu', 'epochs': 50}
INFO:root:Mean Acc : 0.680306  Std Dev (0.422360) with param: {'lr': 0.01, 'hu_1': 250, 'drop_out1': 0, 'act_layer1': 'relu', 'epochs': 50}
INFO:root:Mean Acc : 0.388222  Std Dev (0.420096) with param: {'lr': 0.1, 'hu_1': 300, 'drop_out1': 0, 'act_layer1': 'relu', 'epochs': 50}
INFO:root:Mean Acc : 0.684250  Std Dev (0.425208) with param: {'lr': 0.01, 'hu_1': 300, 'drop_out1': 0, 'act_layer1': 'relu', 'epochs': 50}
INFO:root:Mean Acc : 0.024806  Std Dev (0.035080) with param: {'lr': 0.1, 'hu_1': 350, 'drop_out1': 0, 'act_layer1': 'relu', 'epochs': 50}
INFO:root:Mean Acc : 0.684889  Std Dev (0.425664) with param: {'lr': 0.01, 'hu_1': 350, 'drop_out1': 0, 'act_layer1': 'relu', 'epochs': 50}
INFO:root:Mean Acc : 0.060222  Std Dev (0.044503) with param: {'lr': 0.1, 'hu_1': 400, 'drop_out1': 0, 'act_layer1': 'relu', 'epochs': 50}
INFO:root:Mean Acc : 0.683722  Std Dev (0.424725) with param: {'lr': 0.01, 'hu_1': 400, 'drop_out1': 0, 'act_layer1': 'relu', 'epochs': 50}
INFO:root:Mean Acc : 0.680833  Std Dev (0.422854) with param: {'lr': 0.1, 'hu_1': 100, 'drop_out1': 0, 'act_layer1': 'relu', 'epochs': 90}
INFO:root:Mean Acc : 0.683000  Std Dev (0.424327) with param: {'lr': 0.01, 'hu_1': 100, 'drop_out1': 0, 'act_layer1': 'relu', 'epochs': 90}
INFO:root:Mean Acc : 0.680556  Std Dev (0.422595) with param: {'lr': 0.1, 'hu_1': 150, 'drop_out1': 0, 'act_layer1': 'relu', 'epochs': 90}
INFO:root:Mean Acc : 0.685944  Std Dev (0.426405) with param: {'lr': 0.01, 'hu_1': 150, 'drop_out1': 0, 'act_layer1': 'relu', 'epochs': 90}
INFO:root:Mean Acc : 0.681833  Std Dev (0.423508) with param: {'lr': 0.1, 'hu_1': 200, 'drop_out1': 0, 'act_layer1': 'relu', 'epochs': 90}
INFO:root:Mean Acc : 0.683333  Std Dev (0.424566) with param: {'lr': 0.01, 'hu_1': 200, 'drop_out1': 0, 'act_layer1': 'relu', 'epochs': 90}
INFO:root:Mean Acc : 0.669944  Std Dev (0.415077) with param: {'lr': 0.1, 'hu_1': 250, 'drop_out1': 0, 'act_layer1': 'relu', 'epochs': 90}
INFO:root:Mean Acc : 0.682583  Std Dev (0.424041) with param: {'lr': 0.01, 'hu_1': 250, 'drop_out1': 0, 'act_layer1': 'relu', 'epochs': 90}
INFO:root:Mean Acc : 0.095111  Std Dev (0.009292) with param: {'lr': 0.1, 'hu_1': 300, 'drop_out1': 0, 'act_layer1': 'relu', 'epochs': 90}
INFO:root:Mean Acc : 0.682861  Std Dev (0.424228) with param: {'lr': 0.01, 'hu_1': 300, 'drop_out1': 0, 'act_layer1': 'relu', 'epochs': 90}
INFO:root:Mean Acc : 0.340917  Std Dev (0.430525) with param: {'lr': 0.1, 'hu_1': 350, 'drop_out1': 0, 'act_layer1': 'relu', 'epochs': 90}
INFO:root:Mean Acc : 0.686583  Std Dev (0.426798) with param: {'lr': 0.01, 'hu_1': 350, 'drop_out1': 0, 'act_layer1': 'relu', 'epochs': 90}
INFO:root:Mean Acc : 0.027667  Std Dev (0.039127) with param: {'lr': 0.1, 'hu_1': 400, 'drop_out1': 0, 'act_layer1': 'relu', 'epochs': 90}
INFO:root:Mean Acc : 0.679528  Std Dev (0.421836) with param: {'lr': 0.01, 'hu_1': 400, 'drop_out1': 0, 'act_layer1': 'relu', 'epochs': 90}
INFO:root:Mean Acc : 0.680556  Std Dev (0.422536) with param: {'lr': 0.1, 'hu_1': 100, 'drop_out1': 0, 'act_layer1': 'relu', 'epochs': 130}
INFO:root:Mean Acc : 0.684000  Std Dev (0.424926) with param: {'lr': 0.01, 'hu_1': 100, 'drop_out1': 0, 'act_layer1': 'relu', 'epochs': 130}
INFO:root:Mean Acc : 0.684833  Std Dev (0.425561) with param: {'lr': 0.1, 'hu_1': 150, 'drop_out1': 0, 'act_layer1': 'relu', 'epochs': 130}
INFO:root:Mean Acc : 0.682694  Std Dev (0.424107) with param: {'lr': 0.01, 'hu_1': 150, 'drop_out1': 0, 'act_layer1': 'relu', 'epochs': 130}
INFO:root:Mean Acc : 0.682611  Std Dev (0.423990) with param: {'lr': 0.1, 'hu_1': 200, 'drop_out1': 0, 'act_layer1': 'relu', 'epochs': 130}
INFO:root:Mean Acc : 0.685028  Std Dev (0.425710) with param: {'lr': 0.01, 'hu_1': 200, 'drop_out1': 0, 'act_layer1': 'relu', 'epochs': 130}
INFO:root:Mean Acc : 0.682944  Std Dev (0.424188) with param: {'lr': 0.1, 'hu_1': 250, 'drop_out1': 0, 'act_layer1': 'relu', 'epochs': 130}
INFO:root:Mean Acc : 0.681278  Std Dev (0.423060) with param: {'lr': 0.01, 'hu_1': 250, 'drop_out1': 0, 'act_layer1': 'relu', 'epochs': 130}
INFO:root:Mean Acc : 0.584972  Std Dev (0.374187) with param: {'lr': 0.1, 'hu_1': 300, 'drop_out1': 0, 'act_layer1': 'relu', 'epochs': 130}
INFO:root:Mean Acc : 0.680722  Std Dev (0.422726) with param: {'lr': 0.01, 'hu_1': 300, 'drop_out1': 0, 'act_layer1': 'relu', 'epochs': 130}
INFO:root:Mean Acc : 0.024861  Std Dev (0.035159) with param: {'lr': 0.1, 'hu_1': 350, 'drop_out1': 0, 'act_layer1': 'relu', 'epochs': 130}
INFO:root:Mean Acc : 0.685806  Std Dev (0.426192) with param: {'lr': 0.01, 'hu_1': 350, 'drop_out1': 0, 'act_layer1': 'relu', 'epochs': 130}
INFO:root:Mean Acc : 0.027556  Std Dev (0.038969) with param: {'lr': 0.1, 'hu_1': 400, 'drop_out1': 0, 'act_layer1': 'relu', 'epochs': 130}
INFO:root:Mean Acc : 0.683444  Std Dev (0.424580) with param: {'lr': 0.01, 'hu_1': 400, 'drop_out1': 0, 'act_layer1': 'relu', 'epochs': 130}
INFO:root:Mean Acc : 0.670306  Std Dev (0.415361) with param: {'lr': 0.1, 'hu_1': 100, 'drop_out1': 0.5, 'act_layer1': 'relu', 'epochs': 50}
INFO:root:Mean Acc : 0.685139  Std Dev (0.425835) with param: {'lr': 0.01, 'hu_1': 100, 'drop_out1': 0.5, 'act_layer1': 'relu', 'epochs': 50}
INFO:root:Mean Acc : 0.669722  Std Dev (0.414976) with param: {'lr': 0.1, 'hu_1': 150, 'drop_out1': 0.5, 'act_layer1': 'relu', 'epochs': 50}
INFO:root:Mean Acc : 0.687667  Std Dev (0.427565) with param: {'lr': 0.01, 'hu_1': 150, 'drop_out1': 0.5, 'act_layer1': 'relu', 'epochs': 50}
INFO:root:Mean Acc : 0.678722  Std Dev (0.421312) with param: {'lr': 0.1, 'hu_1': 200, 'drop_out1': 0.5, 'act_layer1': 'relu', 'epochs': 50}
INFO:root:Mean Acc : 0.684528  Std Dev (0.425349) with param: {'lr': 0.01, 'hu_1': 200, 'drop_out1': 0.5, 'act_layer1': 'relu', 'epochs': 50}
INFO:root:Mean Acc : 0.677611  Std Dev (0.420456) with param: {'lr': 0.1, 'hu_1': 250, 'drop_out1': 0.5, 'act_layer1': 'relu', 'epochs': 50}
