[kkalyan3@helios1 log]$ cat new_grid_exp2_mnist_5_model1.out
INFO:root:##### NEW EXPERIMENT #####
INFO:root:Best: 0.690972 using {'hu_1': 150, 'lr': 0.01, 'epochs': 50, 'drop_out1': 0.5, 'act_layer1': 'relu'}
INFO:root:Mean Acc : 0.645306  Std Dev (0.405174) with param: {'hu_1': 100, 'lr': 0.1, 'epochs': 50, 'drop_out1': 0, 'act_layer1': 'relu'}
INFO:root:Mean Acc : 0.646944  Std Dev (0.401109) with param: {'hu_1': 100, 'lr': 0.01, 'epochs': 50, 'drop_out1': 0, 'act_layer1': 'relu'}
INFO:root:Mean Acc : 0.676000  Std Dev (0.430923) with param: {'hu_1': 150, 'lr': 0.1, 'epochs': 50, 'drop_out1': 0, 'act_layer1': 'relu'}
INFO:root:Mean Acc : 0.684139  Std Dev (0.424835) with param: {'hu_1': 150, 'lr': 0.01, 'epochs': 50, 'drop_out1': 0, 'act_layer1': 'relu'}
INFO:root:Mean Acc : 0.604250  Std Dev (0.381253) with param: {'hu_1': 200, 'lr': 0.1, 'epochs': 50, 'drop_out1': 0, 'act_layer1': 'relu'}
INFO:root:Mean Acc : 0.681333  Std Dev (0.422850) with param: {'hu_1': 200, 'lr': 0.01, 'epochs': 50, 'drop_out1': 0, 'act_layer1': 'relu'}
INFO:root:Mean Acc : 0.547972  Std Dev (0.345858) with param: {'hu_1': 250, 'lr': 0.1, 'epochs': 50, 'drop_out1': 0, 'act_layer1': 'relu'}
INFO:root:Mean Acc : 0.679861  Std Dev (0.421824) with param: {'hu_1': 250, 'lr': 0.01, 'epochs': 50, 'drop_out1': 0, 'act_layer1': 'relu'}
INFO:root:Mean Acc : 0.605778  Std Dev (0.387468) with param: {'hu_1': 300, 'lr': 0.1, 'epochs': 50, 'drop_out1': 0, 'act_layer1': 'relu'}
INFO:root:Mean Acc : 0.682194  Std Dev (0.423460) with param: {'hu_1': 300, 'lr': 0.01, 'epochs': 50, 'drop_out1': 0, 'act_layer1': 'relu'}
INFO:root:Mean Acc : 0.547250  Std Dev (0.339169) with param: {'hu_1': 350, 'lr': 0.1, 'epochs': 50, 'drop_out1': 0, 'act_layer1': 'relu'}
INFO:root:Mean Acc : 0.684167  Std Dev (0.424853) with param: {'hu_1': 350, 'lr': 0.01, 'epochs': 50, 'drop_out1': 0, 'act_layer1': 'relu'}
INFO:root:Mean Acc : 0.578750  Std Dev (0.353209) with param: {'hu_1': 400, 'lr': 0.1, 'epochs': 50, 'drop_out1': 0, 'act_layer1': 'relu'}
INFO:root:Mean Acc : 0.647194  Std Dev (0.401114) with param: {'hu_1': 400, 'lr': 0.01, 'epochs': 50, 'drop_out1': 0, 'act_layer1': 'relu'}
INFO:root:Mean Acc : 0.681583  Std Dev (0.423028) with param: {'hu_1': 100, 'lr': 0.1, 'epochs': 90, 'drop_out1': 0, 'act_layer1': 'relu'}
INFO:root:Mean Acc : 0.681306  Std Dev (0.422830) with param: {'hu_1': 100, 'lr': 0.01, 'epochs': 90, 'drop_out1': 0, 'act_layer1': 'relu'}
INFO:root:Mean Acc : 0.580861  Std Dev (0.354461) with param: {'hu_1': 150, 'lr': 0.1, 'epochs': 90, 'drop_out1': 0, 'act_layer1': 'relu'}
INFO:root:Mean Acc : 0.680444  Std Dev (0.422223) with param: {'hu_1': 150, 'lr': 0.01, 'epochs': 90, 'drop_out1': 0, 'act_layer1': 'relu'}
INFO:root:Mean Acc : 0.644583  Std Dev (0.404954) with param: {'hu_1': 200, 'lr': 0.1, 'epochs': 90, 'drop_out1': 0, 'act_layer1': 'relu'}
INFO:root:Mean Acc : 0.681528  Std Dev (0.422995) with param: {'hu_1': 200, 'lr': 0.01, 'epochs': 90, 'drop_out1': 0, 'act_layer1': 'relu'}
INFO:root:Mean Acc : 0.633222  Std Dev (0.422002) with param: {'hu_1': 250, 'lr': 0.1, 'epochs': 90, 'drop_out1': 0, 'act_layer1': 'relu'}
INFO:root:Mean Acc : 0.679833  Std Dev (0.421799) with param: {'hu_1': 250, 'lr': 0.01, 'epochs': 90, 'drop_out1': 0, 'act_layer1': 'relu'}
INFO:root:Mean Acc : 0.645389  Std Dev (0.406071) with param: {'hu_1': 300, 'lr': 0.1, 'epochs': 90, 'drop_out1': 0, 'act_layer1': 'relu'}
INFO:root:Mean Acc : 0.681361  Std Dev (0.422875) with param: {'hu_1': 300, 'lr': 0.01, 'epochs': 90, 'drop_out1': 0, 'act_layer1': 'relu'}
INFO:root:Mean Acc : 0.644667  Std Dev (0.411555) with param: {'hu_1': 350, 'lr': 0.1, 'epochs': 90, 'drop_out1': 0, 'act_layer1': 'relu'}
INFO:root:Mean Acc : 0.680833  Std Dev (0.422500) with param: {'hu_1': 350, 'lr': 0.01, 'epochs': 90, 'drop_out1': 0, 'act_layer1': 'relu'}
INFO:root:Mean Acc : 0.669167  Std Dev (0.438001) with param: {'hu_1': 400, 'lr': 0.1, 'epochs': 90, 'drop_out1': 0, 'act_layer1': 'relu'}
INFO:root:Mean Acc : 0.682083  Std Dev (0.423382) with param: {'hu_1': 400, 'lr': 0.01, 'epochs': 90, 'drop_out1': 0, 'act_layer1': 'relu'}
INFO:root:Mean Acc : 0.643861  Std Dev (0.404419) with param: {'hu_1': 100, 'lr': 0.1, 'epochs': 130, 'drop_out1': 0, 'act_layer1': 'relu'}
INFO:root:Mean Acc : 0.680861  Std Dev (0.422516) with param: {'hu_1': 100, 'lr': 0.01, 'epochs': 130, 'drop_out1': 0, 'act_layer1': 'relu'}
INFO:root:Mean Acc : 0.672028  Std Dev (0.433594) with param: {'hu_1': 150, 'lr': 0.1, 'epochs': 130, 'drop_out1': 0, 'act_layer1': 'relu'}
INFO:root:Mean Acc : 0.680222  Std Dev (0.422064) with param: {'hu_1': 150, 'lr': 0.01, 'epochs': 130, 'drop_out1': 0, 'act_layer1': 'relu'}
INFO:root:Mean Acc : 0.672278  Std Dev (0.434714) with param: {'hu_1': 200, 'lr': 0.1, 'epochs': 130, 'drop_out1': 0, 'act_layer1': 'relu'}
INFO:root:Mean Acc : 0.681000  Std Dev (0.422673) with param: {'hu_1': 200, 'lr': 0.01, 'epochs': 130, 'drop_out1': 0, 'act_layer1': 'relu'}
INFO:root:Mean Acc : 0.612917  Std Dev (0.383525) with param: {'hu_1': 250, 'lr': 0.1, 'epochs': 130, 'drop_out1': 0, 'act_layer1': 'relu'}
INFO:root:Mean Acc : 0.680472  Std Dev (0.422305) with param: {'hu_1': 250, 'lr': 0.01, 'epochs': 130, 'drop_out1': 0, 'act_layer1': 'relu'}
INFO:root:Mean Acc : 0.619944  Std Dev (0.386686) with param: {'hu_1': 300, 'lr': 0.1, 'epochs': 130, 'drop_out1': 0, 'act_layer1': 'relu'}
INFO:root:Mean Acc : 0.682306  Std Dev (0.423539) with param: {'hu_1': 300, 'lr': 0.01, 'epochs': 130, 'drop_out1': 0, 'act_layer1': 'relu'}
INFO:root:Mean Acc : 0.605611  Std Dev (0.387278) with param: {'hu_1': 350, 'lr': 0.1, 'epochs': 130, 'drop_out1': 0, 'act_layer1': 'relu'}
INFO:root:Mean Acc : 0.680194  Std Dev (0.422058) with param: {'hu_1': 350, 'lr': 0.01, 'epochs': 130, 'drop_out1': 0, 'act_layer1': 'relu'}
INFO:root:Mean Acc : 0.550444  Std Dev (0.340536) with param: {'hu_1': 400, 'lr': 0.1, 'epochs': 130, 'drop_out1': 0, 'act_layer1': 'relu'}
INFO:root:Mean Acc : 0.645528  Std Dev (0.399928) with param: {'hu_1': 400, 'lr': 0.01, 'epochs': 130, 'drop_out1': 0, 'act_layer1': 'relu'}
INFO:root:Mean Acc : 0.620722  Std Dev (0.389379) with param: {'hu_1': 100, 'lr': 0.1, 'epochs': 50, 'drop_out1': 0.5, 'act_layer1': 'relu'}
INFO:root:Mean Acc : 0.690000  Std Dev (0.429040) with param: {'hu_1': 100, 'lr': 0.01, 'epochs': 50, 'drop_out1': 0.5, 'act_layer1': 'relu'}
INFO:root:Mean Acc : 0.586694  Std Dev (0.358714) with param: {'hu_1': 150, 'lr': 0.1, 'epochs': 50, 'drop_out1': 0.5, 'act_layer1': 'relu'}
INFO:root:Mean Acc : 0.690972  Std Dev (0.429666) with param: {'hu_1': 150, 'lr': 0.01, 'epochs': 50, 'drop_out1': 0.5, 'act_layer1': 'relu'}
INFO:root:Mean Acc : 0.615917  Std Dev (0.376652) with param: {'hu_1': 200, 'lr': 0.1, 'epochs': 50, 'drop_out1': 0.5, 'act_layer1': 'relu'}
INFO:root:Mean Acc : 0.690722  Std Dev (0.429489) with param: {'hu_1': 200, 'lr': 0.01, 'epochs': 50, 'drop_out1': 0.5, 'act_layer1': 'relu'}
INFO:root:Mean Acc : 0.611806  Std Dev (0.373687) with param: {'hu_1': 250, 'lr': 0.1, 'epochs': 50, 'drop_out1': 0.5, 'act_layer1': 'relu'}
INFO:root:Mean Acc : 0.690722  Std Dev (0.429490) with param: {'hu_1': 250, 'lr': 0.01, 'epochs': 50, 'drop_out1': 0.5, 'act_layer1': 'relu'}
INFO:root:Mean Acc : 0.549778  Std Dev (0.329826) with param: {'hu_1': 300, 'lr': 0.1, 'epochs': 50, 'drop_out1': 0.5, 'act_layer1': 'relu'}
INFO:root:Mean Acc : 0.690917  Std Dev (0.429626) with param: {'hu_1': 300, 'lr': 0.01, 'epochs': 50, 'drop_out1': 0.5, 'act_layer1': 'relu'}
INFO:root:Mean Acc : 0.582333  Std Dev (0.360739) with param: {'hu_1': 350, 'lr': 0.1, 'epochs': 50, 'drop_out1': 0.5, 'act_layer1': 'relu'}
INFO:root:Mean Acc : 0.690778  Std Dev (0.429528) with param: {'hu_1': 350, 'lr': 0.01, 'epochs': 50, 'drop_out1': 0.5, 'act_layer1': 'relu'}
INFO:root:Mean Acc : 0.587694  Std Dev (0.359692) with param: {'hu_1': 400, 'lr': 0.1, 'epochs': 50, 'drop_out1': 0.5, 'act_layer1': 'relu'}
INFO:root:Mean Acc : 0.690861  Std Dev (0.429647) with param: {'hu_1': 400, 'lr': 0.01, 'epochs': 50, 'drop_out1': 0.5, 'act_layer1': 'relu'}
INFO:root:Mean Acc : 0.518944  Std Dev (0.310604) with param: {'hu_1': 100, 'lr': 0.1, 'epochs': 90, 'drop_out1': 0.5, 'act_layer1': 'relu'}
INFO:root:Mean Acc : 0.690556  Std Dev (0.429430) with param: {'hu_1': 100, 'lr': 0.01, 'epochs': 90, 'drop_out1': 0.5, 'act_layer1': 'relu'}
INFO:root:Mean Acc : 0.484583  Std Dev (0.296093) with param: {'hu_1': 150, 'lr': 0.1, 'epochs': 90, 'drop_out1': 0.5, 'act_layer1': 'relu'}
INFO:root:Mean Acc : 0.690389  Std Dev (0.429253) with param: {'hu_1': 150, 'lr': 0.01, 'epochs': 90, 'drop_out1': 0.5, 'act_layer1': 'relu'}
